poduct name,product id,price,brand,category,date,user id,gender,age,store id,frequency
 לייף גרבוני לייקרה ללא מכנסון 40 דנייר,555060,39.9, לייף, אופנה/אופנת נשים/אקססוריז לנשים/גרביונים,13/08/2020,0,female,35,1,2
 KUMI סניקרס Fluff Pale Blue, mp-00036807,198, KUMI, אופנה/אופנת נשים/נעלי נשים/נעלי ספורט וסניקרס נשים,13/08/2020,0,female,35,1,3
 קריסטל SWAROVSKI שרשרת פנסי סוליטר משובצת קריסטל,586723,109, קריסטל SWAROVSKI, אופנה/אופנת נשים/תכשיטים/סט תכשיטים,13/08/2020,0,female,35,1,9
 לייף לייף שלישיית תחתונים בגזרת מיני 3PP אפור,600181,54.9, לייף, אופנה/אופנת נשים/הלבשה תחתונה/תחתוני נשים,12/06/2020,0,female,35,1,6
 REPLAY זית צבע בגד גוף לייקרה ציקי, mp-00052425,169, REPLAY, אופנה/אופנת נשים/בגדי גוף,12/06/2020,0,female,35,1,10
 Faber-Castell טוש מכחול Pitt artist pen, mp-00015787,59, Faber-Castell, יצירה ותחביבים/יצירה לילדים/צבעים ועפרונות,12/06/2020,0,female,35,1,3
 Bunny Tummy שמלה מחטבת - מאוב, mp-00045934,392, Bunny Tummy, אופנה/אופנת נשים/הלבשה תחתונה/מחטבים,12/06/2020,0,female,35,1,6
 On נעלי  חסינות מים לנשים  19.99986 Cloud Waterproof Black / Lunar, mp-00044614,656, On, אופנה/אופנת נשים/נעלי נשים/נעלי ריצה לנשים,10/10/2020,0,female,35,1,7
 NIK NAK מארז בובות ומדבקות, mp-00006195,69, NIK NAK, יצירה ותחביבים/יצירה לילדים/מדבקות קעקועים,10/10/2020,0,female,35,1,3
 Keds סניקרס לילדים בצבע לבן, mp-00049895,119, Keds, אופנה/ילדים/נעלי ילדים/נעלי ספורט וסניקרס ילדים,10/10/2020,0,female,35,1,1
 Disney שולחן עץ מפרץ ההרפתקאות + 2 כיסאות, mp-00003131,279, Disney, לבית/ריהוט/רהיטי ילדים/כסאות ושולחנות ילדים,10/10/2020,0,female,35,1,5
 סימפלי ביבו מגק בוק עם טוש מים - ירוקות, mp-00049010,29.9, סימפלי ביבו, יצירה ותחביבים/יצירה לילדים/חוברות צביעה וציור,30/05/2021,0,female,35,1,8
 Hoka נעלי טיולים עמידות למים Toa GTX, mp-00042229,640, Hoka, אופנה/אופנת נשים/נעלי נשים/נעלי ריצה לנשים,30/05/2021,0,female,35,1,3
 Biancashirts Everly - חולצה לבנה בייבוא אישי, mp-00013442,215, Biancashirts, אופנה/אופנת נשים/חולצות וטופים/חולצות שרוול קצר,30/05/2021,0,female,35,1,4
 boebody BOOB TAPE BLACK טייפ לחזה שחור, mp-00022129,69, boebody, אופנה/אופנת נשים/הלבשה תחתונה/חזיות,30/05/2021,0,female,35,1,6
 אגם הוצאה לאור סבתא מצחיקולה - ספר קרטון, mp-00021272,57.6, אגם הוצאה לאור, יצירה ותחביבים/ספרים וחוברות/ספרי ילדים,30/05/2021,0,female,35,1,7
 Celia Dee גוזיית סימלס רייסר בצבע שחור, mp-00045848,45, Celia Dee, אופנה/אופנת נשים/הלבשה תחתונה/חזיות,30/05/2021,0,female,35,1,2
 Z SPORT Z BRA, mp-00038830,119, Z SPORT, אופנה/אופנת נשים/ביגוד ספורט לנשים/גופיות וגוזיות ספורט לנשים,17/06/2021,0,female,35,1,3
 Biancashirts Caroline - חולצה לבנה בייבוא אישי, mp-00013467,210, Biancashirts, אופנה/אופנת נשים/חולצות וטופים/חולצות שרוול ארוך,17/06/2021,0,female,35,1,1
 Sneaker LAB HAT CLEANER - ספריי לניקוי כובעים, mp-00025336,27.92, Sneaker LAB, אופנה/אופנת נשים/נעלי נשים/אביזרים לנעלים,17/06/2021,0,female,35,1,9
 Ailefo בצק יצירה אורגני לילדים, mp-00041324,149, Ailefo, יצירה ותחביבים/יצירה לילדים/בצק ופלסטלינה,17/06/2021,0,female,35,1,5
 גוטקס Gottex טי שירט שרוולים ארוכים עם פתח גב, mp-00027881,169, גוטקס Gottex, אופנה/אופנת נשים/ביגוד ספורט לנשים/בגדים וציוד יוגה לנשים,17/06/2021,0,female,35,1,10
