user_key,age,gender,date,itemID,itemDescription,brand,category,amount,price
b661e90ea0fe4cb5bb6c53b68ad5d555,35,female,2020-08-13 00:00:00,555060, לייף גרבוני לייקרה ללא מכנסון 40 דנייר, לייף,"[' אופנה', 'אופנת נשים', 'אקססוריז לנשים', 'גרביונים']",4,39.9
b661e90ea0fe4cb5bb6c53b68ad5d555,35,female,2020-08-13 00:00:00, mp-00036807, KUMI סניקרס Fluff Pale Blue, KUMI,"[' אופנה', 'אופנת נשים', 'נעלי נשים', 'נעלי ספורט וסניקרס נשים']",5,198.0
b661e90ea0fe4cb5bb6c53b68ad5d555,35,female,2020-08-13 00:00:00,586723, קריסטל SWAROVSKI שרשרת פנסי סוליטר משובצת קריסטל, קריסטל SWAROVSKI,"[' אופנה', 'אופנת נשים', 'תכשיטים', 'סט תכשיטים']",1,109.0
b661e90ea0fe4cb5bb6c53b68ad5d555,35,female,2020-12-06 00:00:00,600181, לייף לייף שלישיית תחתונים בגזרת מיני 3PP אפור, לייף,"[' אופנה', 'אופנת נשים', 'הלבשה תחתונה', 'תחתוני נשים']",4,54.9
b661e90ea0fe4cb5bb6c53b68ad5d555,35,female,2020-12-06 00:00:00, mp-00052425, REPLAY זית צבע בגד גוף לייקרה ציקי, REPLAY,"[' אופנה', 'אופנת נשים', 'בגדי גוף']",5,169.0
b661e90ea0fe4cb5bb6c53b68ad5d555,35,female,2020-12-06 00:00:00, mp-00015787, Faber-Castell טוש מכחול Pitt artist pen, Faber-Castell,"[' יצירה ותחביבים', 'יצירה לילדים', 'צבעים ועפרונות']",2,59.0
b661e90ea0fe4cb5bb6c53b68ad5d555,35,female,2020-12-06 00:00:00, mp-00045934, Bunny Tummy שמלה מחטבת - מאוב, Bunny Tummy,"[' אופנה', 'אופנת נשים', 'הלבשה תחתונה', 'מחטבים']",5,392.0
b661e90ea0fe4cb5bb6c53b68ad5d555,35,female,2020-10-10 00:00:00, mp-00044614, On נעלי  חסינות מים לנשים  19.99986 Cloud Waterproof Black / Lunar, On,"[' אופנה', 'אופנת נשים', 'נעלי נשים', 'נעלי ריצה לנשים']",2,656.0
b661e90ea0fe4cb5bb6c53b68ad5d555,35,female,2020-10-10 00:00:00, mp-00006195, NIK NAK מארז בובות ומדבקות, NIK NAK,"[' יצירה ותחביבים', 'יצירה לילדים', 'מדבקות קעקועים']",4,69.0
b661e90ea0fe4cb5bb6c53b68ad5d555,35,female,2020-10-10 00:00:00, mp-00049895, Keds סניקרס לילדים בצבע לבן, Keds,"[' אופנה', 'ילדים', 'נעלי ילדים', 'נעלי ספורט וסניקרס ילדים']",5,119.0
b661e90ea0fe4cb5bb6c53b68ad5d555,35,female,2020-10-10 00:00:00, mp-00003131, Disney שולחן עץ מפרץ ההרפתקאות + 2 כיסאות, Disney,"[' לבית', 'ריהוט', 'רהיטי ילדים', 'כסאות ושולחנות ילדים']",5,279.0
